District_Name,UnitName,predicted_FIRs_next_year,trend_direction
DAKSHINA KANNADA,BELLARE PS,31.43,increasing
DAKSHINA KANNADA,SUBRAMANYA PS,43.73,increasing
DAKSHINA KANNADA,PUTTUR TOWN PS,48.57,increasing
DAKSHINA KANNADA,KADABA PS,51.74,increasing
DAKSHINA KANNADA,DHARMASTHALA PS,52.27,increasing
DAKSHINA KANNADA,PUTTUR RURAL PS,61.42,increasing
DAKSHINA KANNADA,SULLIA PS,61.91,increasing
DAKSHINA KANNADA,VENOOR PS,63.36,increasing
DAKSHINA KANNADA,BANTWALA RURAL PS,70.57,increasing
DAKSHINA KANNADA,BELTHANGADI TRAFFIC PS,74.03,increasing
DAKSHINA KANNADA,BELTHANGADI PS,80.0,increasing
DAKSHINA KANNADA,BANTWALA TRAFFIC PS,87.89,increasing
DAKSHINA KANNADA,UPPINANGADI PS,90.03,increasing
DAKSHINA KANNADA,PUNJALKATTE PS,94.51,increasing
DAKSHINA KANNADA,BANTWALA TOWN PS,105.17,increasing
DAKSHINA KANNADA,VITLA PS,141.87,increasing
DAKSHINA KANNADA,PUTTUR TRAFFIC PS,160.64,increasing
DAVANAGERE,DAVANGERE NORTH TRAFFIC PS,45.23,increasing
DAVANAGERE,RMC YARD PS,46.72,increasing
DAVANAGERE,BASAVANAGARA PS,50.99,increasing
DAVANAGERE,GANDHI NAGAR PS,53.52,increasing
DAVANAGERE,DAVANAGERE CEN CRIME PS,55.3,increasing
DAVANAGERE,AZAD NAGAR PS,57.29,increasing
DAVANAGERE,JAGALUR PS,67.84,increasing
DAVANAGERE,MAYAKONDA PS,76.54,increasing
DAVANAGERE,BILICHODU PS,83.63,increasing
DAVANAGERE,DAVANAGERE SOUTH TRAFFIC PS,91.73,increasing
DAVANAGERE,BASAVAPATNA PS,92.37,increasing
DAVANAGERE,HADADI PS,106.24,increasing
DAVANAGERE,DAVANAGERE WOMEN PS,115.41,increasing
DAVANAGERE,HARIHARA TOWN PS,115.84,increasing
DAVANAGERE,VIDYANAGAR PS,118.83,increasing
DAVANAGERE,DAVANAGERE EXTENTION PS,119.04,increasing
DAVANAGERE,KTJ NAGAR PS,123.31,increasing
DAVANAGERE,SANTHEBENNUR PS,125.65,increasing
DAVANAGERE,HARIHARA RURAL PS,134.4,increasing
DAVANAGERE,MALEBENNUR PS,138.03,increasing
DAVANAGERE,NYAMATHI PS,141.65,increasing
DAVANAGERE,HONNALI PS,148.27,increasing
DAVANAGERE,DAVANAGERE RURAL PS,204.37,increasing
DAVANAGERE,CHANNAGIRI PS,239.76,increasing
DHARWAD,DHARWAD CEN CRIME PS,27.52,increasing
DHARWAD,DHARWAD WOMEN PS,39.68,increasing
DHARWAD,GUDAGERI PS,50.56,increasing
DHARWAD,ALNAVAR PS,66.56,increasing
DHARWAD,ANNIGERI PS,88.3,increasing
DHARWAD,NAVALGUND PS,104.64,increasing
DHARWAD,KUNDAGOL PS,116.48,increasing
DHARWAD,GARAG PS,152.75,increasing
DHARWAD,KALAGHATAGI PS,207.57,increasing
DHARWAD,HUBLI RURAL PS,213.76,increasing
DHARWAD,DHARWAD RURAL PS,217.6,increasing
GADAG,GADAG WOMEN PS,14.82,increasing
GADAG,GADAG TRAFFIC PS,26.67,increasing
GADAG,GADAG CEN CRIME PS,43.09,increasing
GADAG,BETAGERI EXTENTION PS,58.88,increasing
GADAG,MULAGUND PS,70.83,increasing
GADAG,NAREGAL PS,89.6,increasing
GADAG,BETAGERI PS,98.35,increasing
GADAG,SHIRAHATTI PS,118.34,increasing
GADAG,GADAG TOWN PS,127.36,increasing
GADAG,RON PS,130.38,increasing
GADAG,LAKSHMESHWAR PS,138.88,increasing
GADAG,GAJENDRAGAD PS,158.29,increasing
GADAG,MUNDARGI PS,179.41,increasing
GADAG,NARGUND PS,187.31,increasing
GADAG,GADAG RURAL PS,219.13,increasing
HASSAN,HASSAN CEN CRIME PS,15.92,increasing
HASSAN,HASSAN WOMEN PS,20.48,increasing
HASSAN,BELUR PS,23.67,increasing
HASSAN,HALLYMYSORE PS,26.62,increasing
HASSAN,YESLUR PS,30.33,increasing
HASSAN,JAVAGAL PS,30.08,increasing
HASSAN,HOLENARASIPURA TOWN PS,30.51,increasing
HASSAN,PENSION MOHALLA PS,31.2,increasing
HASSAN,HASSAN CITY PS,34.02,increasing
HASSAN,HIRISAVE PS,37.8,increasing
HASSAN,ALUR PS,35.2,increasing
HASSAN,ARASIKERE TOWN PS,36.92,increasing
HASSAN,SAKALESHPURA RURAL PS,40.7,increasing
HASSAN,SHRAVANABELAGOLA PS,44.59,increasing
HASSAN,HASSAN EXTN. PS,48.67,increasing
HASSAN,KONANUR PS,50.69,increasing
HASSAN,HALEBEEDU PS,52.74,increasing
HASSAN,HOLENARASIPURA RURAL PS,52.91,increasing
HASSAN,CHANNARAYAPATNA RURAL PS,53.33,increasing
HASSAN,ARASIKERE RURAL PS,61.13,increasing
HASSAN,SAKALESHPURA TOWN PS,58.24,increasing
HASSAN,NUGGEHALLI PS,70.83,increasing
HASSAN,AREHALLI PS,74.75,increasing
HASSAN,GANDASI PS,77.31,increasing
HASSAN,BANAVARA PS,81.92,increasing
HASSAN,GORURU PS,90.22,increasing
HASSAN,CHANNARAYAPATNA TRAFFIC PS,91.65,increasing
HASSAN,DUDDA PS,99.63,increasing
HASSAN,HASSAN RURAL PS,110.08,increasing
HASSAN,CHANNARAYAPATNA TOWN PS,111.36,increasing
HASSAN,HASSAN TRAFFIC PS,129.49,increasing
HASSAN,SHANTHIGRAMA PS,130.35,increasing
HASSAN,ARAKALAGUD PS,190.72,increasing
HAVERI,HULAGUR PS,37.6,increasing
HAVERI,RANEBENNUR TRAFFIC PS,33.92,increasing
HAVERI,KUMARAPATTANAM PS,34.82,increasing
HAVERI,HAVERI TRAFFIC PS,38.4,increasing
HAVERI,RATTIHALLI PS,44.03,increasing
HAVERI,HAVERI WOMEN PS,49.28,increasing
HAVERI,GUTTAL PS,60.42,increasing
HAVERI,TADAS PS,60.48,increasing
HAVERI,ADUR PS,63.79,increasing
HAVERI,BANKAPURA PS,64.0,increasing
HAVERI,HAVERI CEN CRIME PS,71.89,increasing
HAVERI,HANSABHAVI PS,75.52,increasing
HAVERI,KAGINELE PS,79.3,increasing
HAVERI,HAVERI TOWN PS,80.0,increasing
HAVERI,RANEBENNUR RURAL PS,85.76,increasing
HAVERI,HAVERI RURAL PS,90.03,increasing
HAVERI,HIREKERUR PS,96.0,increasing
HAVERI,RANEBENNUR TOWN PS,99.41,increasing
HAVERI,BYADAGI PS,102.19,increasing
HAVERI,SHIGGAON PS,106.67,increasing
HAVERI,HANAGAL PS,112.64,increasing
HAVERI,SAVANOOR PS,151.47,increasing
HAVERI,HALAGERI PS,155.95,increasing
HUBBALLI DHARWAD CITY,E AND N CRIME PS HD CITY,11.67,increasing
HUBBALLI DHARWAD CITY,KAMARIPETH PS,34.56,increasing
HUBBALLI DHARWAD CITY,GHANTIKERI PS,42.88,increasing
HUBBALLI DHARWAD CITY,ASHOKNAGAR PS,53.92,increasing
HUBBALLI DHARWAD CITY,HUBBALLI EAST TRAFFIC PS,57.81,increasing
HUBBALLI DHARWAD CITY,HD CITY WOMEN PS,60.16,increasing
HUBBALLI DHARWAD CITY,BENDIGERI PS,80.16,increasing
HUBBALLI DHARWAD CITY,HUBBALLI SOUTH TRAFFIC PS,83.63,increasing
HUBBALLI DHARWAD CITY,APMC NAVANAGAR,84.27,increasing
HUBBALLI DHARWAD CITY,HUBBALLI TOWN PS,93.44,increasing
HUBBALLI DHARWAD CITY,KASABAPETH PS,101.33,increasing
HUBBALLI DHARWAD CITY,KESHAVAPUR PS,106.88,increasing
HUBBALLI DHARWAD CITY,HUBBALLI NORTH TRAFFIC PS,107.95,increasing
HUBBALLI DHARWAD CITY,DHARWAD TRAFFIC PS,117.55,increasing
HUBBALLI DHARWAD CITY,GOKUL ROAD PS,122.88,increasing
HUBBALLI DHARWAD CITY,HUBBALLI SUB URBAN PS,129.49,increasing
HUBBALLI DHARWAD CITY,DHARWAD TOWN PS,130.77,increasing
HUBBALLI DHARWAD CITY,VIDYANAGAR PS,146.77,increasing
HUBBALLI DHARWAD CITY,VIDYAGIRI PS,158.08,increasing
HUBBALLI DHARWAD CITY,OLD HUBBALLI PS,162.77,increasing
HUBBALLI DHARWAD CITY,CEN CRIME PS HUBBALLI DHARWAD CITY,174.26,increasing
HUBBALLI DHARWAD CITY,DHARWAD SUB-URBAN PS,213.33,increasing
K.G.F,CHAMPION REEFS PS,28.47,increasing
K.G.F,KYASAMBALLI PS,35.2,increasing
K.G.F,MARIKUPPAM PS,37.6,increasing
K.G.F,BEML NAGAR PS,32.86,increasing
K.G.F,OORGAUM PS,34.77,increasing
K.G.F,KGF CEN CRIME PS,41.39,increasing
K.G.F,BUDIKOTE PS,57.33,increasing
K.G.F,KAMASAMUDRAM PS,72.53,increasing
K.G.F,ROBERTSONPET PS,87.64,increasing
K.G.F,ANDERSONPET PS,95.15,increasing
K.G.F,BETHAMANGALA PS,113.07,increasing
K.G.F,BANGARPET PS,184.32,increasing
KALABURAGI,KALABURAGI CEN CRIME PS,9.6,increasing
KALABURAGI,KURAKUNTA PS,8.23,increasing
KALABURAGI,KALABURAGI WOMEN PS,13.6,increasing
KALABURAGI,KUNCHAVARAM PS,13.6,increasing
KALABURAGI,KALAGI PS,14.08,increasing
KALABURAGI,MADANAHIPPARGA PS,17.33,increasing
KALABURAGI,MALKHED PS,17.15,increasing
KALABURAGI,NIMBARGA PS,17.92,increasing
KALABURAGI,MADBOOL PS,23.8,increasing
KALABURAGI,MIRYAN PS,22.53,increasing
KALABURAGI,YEDRAMI PS,26.67,increasing
KALABURAGI,DEVALAGANGAPUR PS,32.85,increasing
KALABURAGI,CHITTAPURA PS,35.84,increasing
KALABURAGI,REVOOR PS,35.84,increasing
KALABURAGI,NARONA PS,38.4,increasing
KALABURAGI,SULEPET PS,38.83,increasing
KALABURAGI,ALLAND PS,40.7,increasing
KALABURAGI,RATKAL PS,42.75,increasing
KALABURAGI,SEDAM PS,43.78,increasing
KALABURAGI,AFZALPUR PS,50.33,increasing
KALABURAGI,CHINCHOLI PS,53.2,increasing
KALABURAGI,SHAHABAD TOWN PS,60.8,increasing
KALABURAGI,MAHAGOAN PS,56.64,increasing
KALABURAGI,WADI PS,56.83,increasing
KALABURAGI,MUDHOL PS,71.2,increasing
KALABURAGI,KAMALAPUR PS,64.77,increasing
KALABURAGI,NELOGI PS,65.07,increasing
KALABURAGI,JEWARGI PS,93.12,increasing
KALABURAGI CITY,KALABURAGI CITY CENCRIME PS,33.71,increasing
KALABURAGI CITY,ROZA PS,76.59,increasing
KALABURAGI CITY,MB NAGAR PS,97.49,increasing
KALABURAGI CITY,KALABURAGI CITY WOMEN PS,103.22,increasing
KALABURAGI CITY,STATION BAZAR PS,102.78,increasing
KALABURAGI CITY,ASHOKNAGAR PS,106.88,increasing
KALABURAGI CITY,FERHATABAD PS,109.87,increasing
KALABURAGI CITY,UNIVERSITY PS,121.0,increasing
KALABURAGI CITY,CHOWK PS,128.21,increasing
KALABURAGI CITY,BRAHMAPUR PS,146.35,increasing
KALABURAGI CITY,KALABURAGI TRAFFIC I PS,158.51,increasing
KALABURAGI CITY,RAGAVENDRANAGAR PS,172.37,increasing
KALABURAGI CITY,SUB URBAN PS,279.47,increasing
KALABURAGI CITY,KALABURAGI TRAFFIC II PS,284.59,increasing
KARNATAKA RAILWAYS,MANGALURU RLY PS,7.25,stable
KARNATAKA RAILWAYS,BANGARPET RLY PS,7.68,stable
KARNATAKA RAILWAYS,SHIVAMOGGA RLY PS,11.0,increasing
KARNATAKA RAILWAYS,BYAPPANAHALLI RLY PS,10.86,increasing
KARNATAKA RAILWAYS,DAVANAGERE RLY PS,13.58,increasing
KARNATAKA RAILWAYS,BALLARI RLY PS,15.79,increasing
KARNATAKA RAILWAYS,BIDAR RLY PS,15.79,increasing
KARNATAKA RAILWAYS,VIJAYAPURA RLY PS,19.41,increasing
KARNATAKA RAILWAYS,GADAG RLY PS,21.55,increasing
KARNATAKA RAILWAYS,BENGALURU RURAL RLY PS,23.55,increasing
KARNATAKA RAILWAYS,ARASIKERE RLY PS,24.96,increasing
KARNATAKA RAILWAYS,BELAGAVI RLY PS,33.71,increasing
KARNATAKA RAILWAYS,HUBBALLI RLY PS,40.32,increasing
KARNATAKA RAILWAYS,MYSURU RLY PS,42.88,increasing
KARNATAKA RAILWAYS,BENGALURU CANTONMENT RLY PS,52.27,increasing
KARNATAKA RAILWAYS,RAICHUR RLY PS,62.51,increasing
KARNATAKA RAILWAYS,BENGALURU CITY RLY PS,66.81,increasing
KARNATAKA RAILWAYS,WADI RLY PS,72.67,increasing
KODAGU,KODAGU CEN CRIME PS,19.2,increasing
KODAGU,MADIKERI TRAFFIC PS,23.68,increasing
KODAGU,KODAGU WOMEN PS,31.15,increasing
KODAGU,BHAGAMANDALA PS,32.93,increasing
KODAGU,SRIMANGALA PS,33.47,increasing
KODAGU,KUTTA PS,40.32,increasing
KODAGU,KUSHALNAGAR TRAFFIC PS,52.3,increasing
KODAGU,KUSHALNAGAR TOWN PS,53.38,increasing
KODAGU,NAPOKLU PS,53.38,increasing
KODAGU,MADIKERI TOWN PS,60.59,increasing
KODAGU,SUNTICOPPA PS,72.96,increasing
KODAGU,SIDDAPURA PS,83.63,increasing
KODAGU,PONNAMPET PS,94.72,increasing
KODAGU,VIRAJPET TOWN PS,103.68,increasing
KODAGU,MADIKERI RURAL PS,104.53,increasing
KODAGU,GONIKOPPA PS,109.44,increasing
KODAGU,VIRAJPET RURAL PS,123.52,increasing
KODAGU,KUSHALANAGAR RURAL PS,123.73,increasing
KODAGU,SOMWARPET PS,125.65,increasing
KODAGU,SHANIVARASANTHE PS,141.23,increasing
KOLAR,GOWNAPALLI PS,16.03,increasing
KOLAR,GULPET PS,18.99,increasing
KOLAR,KOLAR CEN CRIME PS,23.04,increasing
KOLAR,RAYALPAD PS,28.86,increasing
KOLAR,KOLAR TOWN PS,28.54,increasing
KOLAR,KOLAR WOMEN PS,31.36,increasing
KOLAR,MULBAGAL RURAL PS,34.7,increasing
KOLAR,MULBAGAL TOWN PS,34.7,increasing
KOLAR,KOLAR TRAFFIC PS,46.4,increasing
KOLAR,VEMAGAL PS,42.43,increasing
KOLAR,NANGLI PS,49.0,increasing
KOLAR,MASTI PS,48.1,increasing
KOLAR,SRINIVASAPURA PS,74.88,increasing
KOLAR,KOLAR RURAL PS,93.44,increasing
KOLAR,MALUR PS,127.51,increasing
KOPPAL,KOPPAL CEN CRIME PS,11.84,increasing
KOPPAL,GANGAVATHI TRAFFIC PS,36.27,increasing
KOPPAL,KOPPAL TRAFFIC PS,41.39,increasing
KOPPAL,KOPPAL WOMEN PS,42.03,increasing
KOPPAL,BEVOOR PS,71.47,increasing
KOPPAL,ALWANDI PS,79.79,increasing
KOPPAL,YELBURGA PS,80.0,increasing
KOPPAL,KUKNOOR PS,83.2,increasing
KOPPAL,KOPPAL TOWN PS,85.12,increasing
KOPPAL,HANUMASAGAR PS,104.11,increasing
KOPPAL,TAVAREGERA PS,104.32,increasing
KOPPAL,KANAKAGIRI PS,126.72,increasing
KOPPAL,GANGAVATHI TOWN PS,142.08,increasing
KOPPAL,KARATAGI PS,187.09,increasing
KOPPAL,GANGAVATHI RURAL PS,204.8,increasing
KOPPAL,MUNIRABAD PS,208.21,increasing
KOPPAL,KUSHTAGI PS,217.39,increasing
KOPPAL,KOPPAL RURAL PS,232.11,increasing
MANDYA,KOPPA PS,14.4,increasing
MANDYA,BESAGARAGHALLI PS,15.4,increasing
MANDYA,BASARALU PS,15.36,increasing
MANDYA,MANDYA CEN CRIME PS,20.0,increasing
MANDYA,KIRUGAVALU PS,19.84,increasing
MANDYA,SHIVALLI PS,24.7,increasing
MANDYA,K.R. PET TOWN PS,29.25,increasing
MANDYA,BELAKAVADI PS,38.4,increasing
MANDYA,MALAVALLI TOWN PS,42.4,increasing
MANDYA,MANDYA WOMEN PS,34.88,increasing
MANDYA,MANDYA WEST PS,39.2,increasing
MANDYA,K.R. SAGAR PS,37.7,increasing
MANDYA,MADDUR TRAFFIC PS,40.6,increasing
MANDYA,BINDIGANAVILE PS,38.4,increasing
MANDYA,NAGAMANGALA TOWN PS,42.47,increasing
MANDYA,NAGAMANGALA RURAL PS,48.8,increasing
MANDYA,MANDYA CENTRAL PS,38.97,increasing
MANDYA,MALAVALLI RURAL PS,40.32,increasing
MANDYA,KERAGODU PS,40.96,increasing
MANDYA,KESTHUR PS,52.8,increasing
MANDYA,K.M. DODDI PS,43.22,increasing
MANDYA,HALAGUR PS,48.53,increasing
MANDYA,MELUKOTE PS,56.8,increasing
MANDYA,MADDUR PS,46.72,increasing
MANDYA,MANDYA TRAFFIC PS,49.71,increasing
MANDYA,KIKKERI PS,55.07,increasing
MANDYA,BELLUR PS,55.53,increasing
MANDYA,SRIRANGAPATNA RURAL PS,53.76,increasing
MANDYA,MANDYA EAST PS,66.88,increasing
MANDYA,SRIRANGAPATNA PS,70.63,increasing
MANDYA,MANDYA RURAL PS,87.36,increasing
MANDYA,PANDAVAPURA PS,107.01,increasing
MANDYA,K.R. PET RURAL PS,137.6,increasing
MANGALURU CITY,CEN CRIME PS MANGALURU CITY,40.13,increasing
MANGALURU CITY,E AND N CRIME PS MANGALURU CITY,42.33,increasing
MANGALURU CITY,MANGALORE WEST TRAFFIC PS,50.56,increasing
MANGALURU CITY,BARKE PS,58.67,increasing
MANGALURU CITY,MANGALORE WOMEN PS,62.08,increasing
MANGALURU CITY,MANGALORE RURAL PS,81.07,increasing
MANGALURU CITY,PANAMBUR PS,84.05,increasing
MANGALURU CITY,MANGALORE NORTH PS,86.25,increasing
MANGALURU CITY,MULKI PS,94.72,increasing
MANGALURU CITY,KANKANADY TOWN PS,96.43,increasing
MANGALURU CITY,KAVOOR PS,96.85,increasing
MANGALURU CITY,BAJPE PS,97.71,increasing
MANGALURU CITY,URVA PS,99.41,increasing
MANGALURU CITY,MANGALORE SOUTH PS,98.19,increasing
MANGALURU CITY,KONAJE PS,102.19,increasing
MANGALURU CITY,ULLAL PS,109.48,increasing
MANGALURU CITY,SURATHKAL PS,112.64,increasing
MANGALURU CITY,MANGALORE EAST PS,115.63,increasing
MANGALURU CITY,MANGALORE EAST TRAFFIC PS,149.76,increasing
MANGALURU CITY,TRAFFIC NORTH POLICE STATION,170.81,increasing
MANGALURU CITY,MOODABIDRE PS,190.08,increasing
MANGALURU CITY,TRAFFIC SOUTH POLICE STATION,242.35,increasing
MYSURU CITY,E AND N CRIME PS MYSURU CITY,1.6,stable
MYSURU CITY,ASHOKPURAM PS,26.45,increasing
MYSURU CITY,SARASWATHIPURAM PS,28.16,increasing
MYSURU CITY,KUVEMPUNAGAR PS,36.27,increasing
MYSURU CITY,LAXMIPURAM PS,39.89,increasing
MYSURU CITY,DEVERAJA TRAFFIC PS,48.21,increasing
MYSURU CITY,JAYALAKSHMIPURAM PS,50.77,increasing
MYSURU CITY,CEN CRIME PS MYSURU CITY,57.78,increasing
MYSURU CITY,DEVARAJA PS,66.56,increasing
MYSURU CITY,KRISHNARAJA PS,68.48,increasing
MYSURU CITY,MANDI PS,70.19,increasing
MYSURU CITY,METAGALLI PS,70.61,increasing
MYSURU CITY,V.V. PURAM PS,70.61,increasing
MYSURU CITY,VIJAYANAGAR PS,71.04,increasing
MYSURU CITY,LASHKAR PS,73.81,increasing
MYSURU CITY,MYSURU CITY WOMEN PS,74.19,increasing
MYSURU CITY,HEBBAL PS,76.37,increasing
MYSURU CITY,VIDYARANYARPURAM PS,80.43,increasing
MYSURU CITY,ALANAHALLY PS,84.91,increasing
MYSURU CITY,NAZARBAD PS,91.95,increasing
MYSURU CITY,NARASIMHARAJA TRAFFIC PS,91.05,increasing
MYSURU CITY,UDAYAGIRI PS,99.16,increasing
MYSURU CITY,NARASIMHARAJA PS,142.93,increasing
MYSURU CITY,SIDDARTHANAGAR TRAFFIC PS,153.39,increasing
MYSURU CITY,KRISHNARAJA TRAFFIC PS,196.91,increasing
MYSURU CITY,V V PURAM TRAFFIC PS,203.52,increasing
MYSURU DIST,MYSURU CEN CRIME PS,3.11,stable
MYSURU DIST,TALAKADU PS,20.15,increasing
MYSURU DIST,NANJANAGUDU TOWN PS,21.76,increasing
MYSURU DIST,MYSURU WOMEN PS,24.32,increasing
MYSURU DIST,ANTHARASANTHE PS,26.56,increasing
MYSURU DIST,SARAGUR PS,39.67,increasing
MYSURU DIST,KOWLANDE PS,44.8,increasing
MYSURU DIST,BILIGERE PS,48.96,increasing
MYSURU DIST,HUNUSUR TOWN PS,52.26,increasing
MYSURU DIST,BYLAKUPPE PS,54.61,increasing
MYSURU DIST,H.D. KOTE PS,58.03,increasing
MYSURU DIST,JAYAPURA PS,61.01,increasing
MYSURU DIST,YELAWALA PS,63.57,increasing
MYSURU DIST,BETTADAPURA PS,71.04,increasing
MYSURU DIST,NANJANGUDU TRAFFIC PS,76.03,increasing
MYSURU DIST,HUNUSUR RURAL PS,77.23,increasing
MYSURU DIST,PERIYAPATNA PS,77.09,increasing
MYSURU DIST,MYSURU SOUTH PS,79.36,increasing
MYSURU DIST,VARUNA PS,84.48,increasing
MYSURU DIST,BILIKERE PS,92.16,increasing
MYSURU DIST,HULLAHALLI PS,101.63,increasing
MYSURU DIST,NANJANAGUDU RURAL PS,104.0,increasing
MYSURU DIST,SALIGRAMA PS,111.36,increasing
MYSURU DIST,BANNUR PS,124.67,increasing
MYSURU DIST,T. NARASIPURA PS,126.08,increasing
MYSURU DIST,K.R. NAGAR PS,242.77,increasing
RAICHUR,DEVADURGA TRAFFIC PS,8.53,increasing
RAICHUR,RAICHUR CEN CRIME PS,12.59,increasing
RAICHUR,NETAJINAGAR PS,28.42,increasing
RAICHUR,YAPALADINNI PS,28.59,increasing
RAICHUR,MARKET YARD PS,31.88,increasing
RAICHUR,GABBUR PS,33.92,increasing
RAICHUR,SINDANUR TRAFFIC PS,35.41,increasing
RAICHUR,IDAPANUR PS,36.1,increasing
RAICHUR,RAICHUR TRAFFIC PS,47.59,increasing
RAICHUR,SHAKTI NAGAR PS,48.43,increasing
RAICHUR,RAICHUR RURAL PS,49.92,increasing
RAICHUR,BALAGANOOR PS,59.09,increasing
RAICHUR,JALHALLI PS,68.48,increasing
RAICHUR,RAICHUR WEST PS,68.91,increasing
RAICHUR,SADAR BAZAR PS,69.12,increasing
RAICHUR,SINDHANOOR TOWN PS,70.61,increasing
RAICHUR,SINDANOOR RURAL PS,78.72,increasing
RAICHUR,SIRWAR PS,80.43,increasing
RAICHUR,MUDGAL PS,81.49,increasing
RAICHUR,RAICHUR WOMEN PS,82.94,increasing
RAICHUR,YEREGERA PS,82.99,increasing
RAICHUR,HUTTI PS,83.84,increasing
RAICHUR,KOWTHAL PS,85.8,increasing
RAICHUR,TURVIHAL PS,97.71,increasing
RAICHUR,MASKI PS,107.31,increasing
RAICHUR,MANVI PS,116.99,increasing
RAICHUR,LINGASUGUR PS,164.91,increasing
RAICHUR,DEVADURGA PS,177.92,increasing
RAMANAGARA,KANAKAPURA TRAFFIC PS,16.03,increasing
RAMANAGARA,RAMANAGARA CEN CRIME PS,24.0,increasing
RAMANAGARA,IJOOR PS,23.92,increasing
RAMANAGARA,RAMANAGARA TRAFFIC PS,26.35,increasing
RAMANAGARA,CHANNAPATNA EAST PS,27.52,increasing
RAMANAGARA,KANAKAPURA RURAL PS,30.0,increasing
RAMANAGARA,RAMANAGARA TOWN PS,37.6,increasing
RAMANAGARA,M.K. DODDI PS,32.5,increasing
RAMANAGARA,CHANNAPATNA TOWN PS,36.48,increasing
RAMANAGARA,AKKUR PS,40.28,increasing
RAMANAGARA,KODIHALLI PS,41.6,increasing
RAMANAGARA,SATHANOOR PS,43.55,increasing
RAMANAGARA,CHANNAPATNA RURAL PS,46.8,increasing
RAMANAGARA,KANAKAPURA TOWN PS,53.56,increasing
RAMANAGARA,CHANNAPATNA TRAFFIC PS,53.95,increasing
RAMANAGARA,RAMANAGARA WOMEN PS,53.55,increasing
RAMANAGARA,RAMANAGARA RURAL PS,56.44,increasing
RAMANAGARA,MAGADI PS,57.46,increasing
RAMANAGARA,KUMBALAGUDU PS,61.62,increasing
RAMANAGARA,TAVAREKERE PS,72.96,increasing
RAMANAGARA,BIDADI PS,74.62,increasing
RAMANAGARA,KAGGALIPURA PS,92.4,increasing
RAMANAGARA,KUDUR PS,93.93,increasing
RAMANAGARA,HAROHALLI PS,120.38,increasing
SHIVAMOGGA,JOG PS,4.2,increasing
SHIVAMOGGA,SHIVAMOGGA CEN CRIME PS,33.6,increasing
SHIVAMOGGA,NAGARA PS,32.0,increasing
SHIVAMOGGA,KARGAL PS,34.82,increasing
SHIVAMOGGA,AGUMBE PS,36.64,increasing
SHIVAMOGGA,SHIVAMOGGA WOMEN PS,45.06,increasing
SHIVAMOGGA,JAYANAGARA PS,46.51,increasing
SHIVAMOGGA,SORABA PS,53.76,increasing
SHIVAMOGGA,SHIRALAKOPPA PS,55.04,increasing
SHIVAMOGGA,BHADRAVATHI OLD TOWN PS,54.79,increasing
SHIVAMOGGA,BHADRAVATHI TRAFFIC PS,56.53,increasing
SHIVAMOGGA,BHADRAVATHI NEW TOWN PS,58.88,increasing
SHIVAMOGGA,MALUR PS,58.88,increasing
SHIVAMOGGA,RIPPONPET PS,62.51,increasing
SHIVAMOGGA,SHIVAMOGGA EAST TRAFFIC PS,62.72,increasing
SHIVAMOGGA,KOTE PS,62.93,increasing
SHIVAMOGGA,HOSAMANE PS,64.21,increasing
SHIVAMOGGA,ANANDAPURA PS,81.6,increasing
SHIVAMOGGA,ANAVATTI PS,67.84,increasing
SHIVAMOGGA,VINOBANAGARA PS,70.4,increasing
SHIVAMOGGA,PAPER TOWN PS,72.19,increasing
SHIVAMOGGA,SHIKARIPURA TOWN PS,76.16,increasing
SHIVAMOGGA,HOSANAGARA PS,77.44,increasing
SHIVAMOGGA,THIRTHAHALLI PS,78.93,increasing
SHIVAMOGGA,SAGAR TOWN PS,94.29,increasing
SHIVAMOGGA,BHADRAVATHI RURAL PS,100.69,increasing
SHIVAMOGGA,KUMSI PS,105.22,increasing
SHIVAMOGGA,SHIVAMOGGA RURAL PS,107.52,increasing
SHIVAMOGGA,SHIKARIPURA RURAL PS,118.4,increasing
SHIVAMOGGA,SHIVAMOGGA WEST TRAFFIC PS,127.49,increasing
SHIVAMOGGA,SAGAR RURAL PS,137.98,increasing
SHIVAMOGGA,HOLEHONNUR PS,140.8,increasing
SHIVAMOGGA,DODDAPETE PS,153.81,increasing
SHIVAMOGGA,TUNGA NAGAR PS,162.77,increasing
TUMAKURU,THIRUMANI PS,55.68,increasing
TUMAKURU,BELLAVI PS,65.07,increasing
TUMAKURU,KIBBANHALLI PS,74.03,increasing
TUMAKURU,TAVAREKERE PS,74.88,increasing
TUMAKURU,DANDINA SHIVARA PS,75.09,increasing
TUMAKURU,KOLALA PS,76.59,increasing
TUMAKURU,ARASIKERE PS,78.51,increasing
TUMAKURU,MEDIGESHI PS,84.91,increasing
TUMAKURU,BADAVANAHALLI PS,86.83,increasing
TUMAKURU,HANDANAKERE PS,88.32,increasing
TUMAKURU,TIPTUR RURAL PS,86.92,increasing
TUMAKURU,TUMAKURU CEN CRIME PS,94.67,increasing
TUMAKURU,NEW EXTENTION PS,98.99,increasing
TUMAKURU,CHANDRASHEKARPURA PS,99.63,increasing
TUMAKURU,TUMAKURU WOMEN PS,102.19,increasing
TUMAKURU,NONAVINAKERE PS,103.47,increasing
TUMAKURU,CHELUR PS,102.78,increasing
TUMAKURU,HONNAVALLI PS,104.53,increasing
TUMAKURU,Y.N. HOSAKOTE PS,106.88,increasing
