District_Name,UnitName,predicted_FIRs_next_year,trend_direction
BENGALURU CITY,HULIMAVU TRAFFIC PS,13.61,increasing
BENGALURU CITY,CUBBONPARK TRAFFIC PS,18.18,increasing
BENGALURU CITY,CHICKABANAVARA TRAFFIC PS,12.8,stable
BENGALURU CITY,HIGH GROUNDS TRAFFIC PS,20.97,increasing
BENGALURU CITY,JAYANAGAR TRAFFIC PS,21.25,increasing
BENGALURU CITY,WILSONGARDEN TRAFFIC PS,21.88,increasing
BENGALURU CITY,ADUGODI TRAFFIC PS,22.64,increasing
BENGALURU CITY,ASHOKNAGAR TRAFFIC PS,22.92,increasing
BENGALURU CITY,CHIKKAJALA TRAFFIC PS,23.12,increasing
BENGALURU CITY,SHIVAJINAGAR PS,23.52,increasing
BENGALURU CITY,BANASAWADI TRAFFIC PS,23.59,increasing
BENGALURU CITY,PULAKESHINAGAR TRAFFIC PS,24.2,increasing
BENGALURU CITY,BASAVANAGUDI WOMEN PS,28.7,increasing
BENGALURU CITY,PUTTENAHALLI PS,31.27,increasing
BENGALURU CITY,MICO LAYOUT TRAFFIC PS,32.34,increasing
BENGALURU CITY,MALLESHWARAM TRAFFIC PS,34.2,increasing
BENGALURU CITY,VICTORIA HOSPITAL PS,21.6,stable
BENGALURU CITY,AIRPORT TRAFFIC PS,36.11,increasing
BENGALURU CITY,K G HALLI TRAFFIC PS,37.09,increasing
BENGALURU CITY,DEVANAHALLI PS,37.71,increasing
BENGALURU CITY,JEEVAN BHIMA NAGAR (INDIRANAGAR) TRAFFIC PS,38.4,increasing
BENGALURU CITY,JAYAPRAKASH NAGAR PS,37.87,increasing
BENGALURU CITY,SIDDAPURA PS,37.92,increasing
BENGALURU CITY,KAMAKSHIPALYA TRAFFIC PS,38.81,increasing
BENGALURU CITY,CHICKPET TRAFFIC PS,38.97,increasing
BENGALURU CITY,HALASUR GATE TRAFFIC PS,40.69,increasing
BENGALURU CITY,BHARATHI NAGAR PS,41.25,increasing
BENGALURU CITY,GANGAMMANA GUDI PS,41.41,increasing
BENGALURU CITY,THILAKNAGAR PS,42.5,increasing
BENGALURU CITY,THALAGHATTAPURA PS,45.16,increasing
BENGALURU CITY,KODIGEHALLI PS,46.04,increasing
BENGALURU CITY,EAST ZONE WOMEN PS,46.0,increasing
BENGALURU CITY,HENNUR TRAFFIC PS,60.0,increasing
BENGALURU CITY,SHANKARPURA PS,47.22,increasing
BENGALURU CITY,VIDHANA SOUDHA PS,48.04,increasing
BENGALURU CITY,BELLANDURU TRAFFIC PS,64.0,increasing
BENGALURU CITY,R.M.C. YARD PS,50.97,increasing
BENGALURU CITY,CHICKPET PS,33.6,stable
BENGALURU CITY,MAHADEVAPURA TRAFFIC PS,67.2,increasing
BENGALURU CITY,SHIVAJINAGAR TRAFFIC PS,52.92,increasing
BENGALURU CITY,BIAL PS,56.16,increasing
BENGALURU CITY,S.J. PARK PS,54.03,increasing
BENGALURU CITY,BOMMANAHALLI PS,54.44,increasing
BENGALURU CITY,BAGALAGUNTE PS,55.0,increasing
BENGALURU CITY,MAGADI ROAD PS,55.31,increasing
BENGALURU CITY,BYAPPANAHALLI PS,59.29,increasing
BENGALURU CITY,MADIVALA TRAFFIC PS,60.0,increasing
BENGALURU CITY,HEBBAL TRAFFIC PS,64.33,increasing
BENGALURU CITY,INDIRANAGAR PS,61.76,increasing
BENGALURU CITY,KENGERI TRAFFIC PS,61.67,increasing
BENGALURU CITY,CITY MARKET TRAFFIC PS,64.29,increasing
BENGALURU CITY,VIJAYANAGAR TRAFFIC PS,64.38,increasing
BENGALURU CITY,UPPARPET PS,65.14,increasing
BENGALURU CITY,AMRUTHAHALLY PS,65.91,increasing
BENGALURU CITY,SAMPANGIRAMANAGAR PS,66.16,increasing
BENGALURU CITY,WHITEFIELD TRAFFIC PS,68.27,increasing
BENGALURU CITY,MAHALAKSHMIPURAM PS,67.22,increasing
BENGALURU CITY,J.C. NAGAR PS,68.89,increasing
BENGALURU CITY,SRIRAMPURA PS,69.35,increasing
BENGALURU CITY,KEMPEGOWDA NAGAR PS,69.31,increasing
BENGALURU CITY,BASAVANAGUDI TRAFFIC PS,69.44,increasing
BENGALURU CITY,YELAHANKA PS,71.84,increasing
BENGALURU CITY,GOVINDAPURA PS,77.33,increasing
BENGALURU CITY,KADUGONDANA HALLI PS,74.73,increasing
BENGALURU CITY,YESHWANTHAPURA PS,74.69,increasing
BENGALURU CITY,PULAKESHINAGAR PS,81.33,increasing
BENGALURU CITY,HSR LAYOUT PS,78.29,increasing
BENGALURU CITY,KUMARASWAMY LAYOUT TRAFFIC PS,80.14,increasing
BENGALURU CITY,CUBBON PARK PS,81.94,increasing
BENGALURU CITY,BYATRARAYANAPURA TRAFFIC PS,82.97,increasing
BENGALURU CITY,COMMERCIAL STREET PS,85.17,increasing
BENGALURU CITY,HSR LAY OUT TRAFFIC PS,85.95,increasing
BENGALURU CITY,RAMAMURTHY NAGAR PS,85.31,increasing
BENGALURU CITY,BANASHANKARI PS,85.0,increasing
BENGALURU CITY,YELAHANKA TRAFFIC PS,87.68,increasing
BENGALURU CITY,HALASUR TRAFFIC PS,87.08,increasing
BENGALURU CITY,BEGURU PS,88.42,increasing
BENGALURU CITY,JNANABHARATHI TRAFFIC PS,56.8,stable
